Name,Lat,Long,Depth
tkgfrr,-12.808902,45.419069,32.006348
tkglck,-12.772397,45.35686,37.624023
tkgoas,-12.802592,45.45076,32.812988
tkgrsr,-12.774967,45.410489,31.14209
tkgwhy,-12.838572,45.413257,31.603027
tkhahz,-12.800581,45.315044,39.583008
tkhcko,-12.724048,45.388265,40.303223
tkhdna,-12.695973,45.305192,33.360352
tkheiw,-12.804936,45.641558,35.463379
tkhwnk,-12.735672,45.368449,42.924805
tkispn,-12.75306,45.410527,25.437988
tkjkww,-12.766279,45.30108,32.409668
tkkbtc,-12.762211,45.389634,25.322754
tkkhtm,-12.82318,45.307795,35.549805
tkklqv,-12.813873,45.434181,30.220215
tkktjm,-12.882041,45.795623,27.685059
tkkwqw,-12.797522,45.37733,27.396973
tklczc,-12.804985,45.401436,39.928711
tklkqe,-12.788927,45.317589,31.94873
tklwix,-12.803592,45.412958,33.475586
tkmdmg,-12.728995,45.388256,22.153809
tkmfzb,-12.801497,45.428082,33.302734
tkmgod,-12.810504,45.329423,22.643555
tkmmar,-12.733262,45.404084,44.336426
tknaou,-12.774998,45.429206,43.184082
tknerv,-12.798141,45.331249,37.998535
tknjyx,-12.835918,45.316409,39.698242
tknzqs,-12.827213,45.383034,23.709473
tkoctk,-12.858366,45.417544,29.759277
tkohqg,-12.840329,45.407133,34.743164
tkojgg,-12.783459,45.417673,36.67334
tkomst,-12.831521,45.422631,32.006348
tkphmc,-12.786264,45.404709,25.265137
tkpueb,-12.766787,45.379907,30.018555
tkpycv,-12.720197,45.408785,42.463867
tkpzfe,-12.782232,45.549425,35.348145
tkpzkt,-12.759736,45.388559,41.081055
tkqcsd,-12.806474,45.447514,42.233398
tkqhpl,-12.772151,45.416973,36.097168
tkqvrs,-12.727051,45.297927,38.430664
tkqxna,-12.857653,45.413224,33.158691
tkrecm,-12.745675,45.431775,39.237305
tkribf,-12.728178,45.554888,39.294922
tkrlak,-12.791243,45.424139,31.775879
tkrlxv,-12.770022,45.411217,33.619629
tkruvo,-12.773548,45.406892,30.220215
tkrzsh,-12.733782,45.30619,33.273926
tkshku,-12.759788,45.418794,33.821289
tksqld,-12.797099,45.340251,27.425781
tksrbr,-12.817309,45.377292,30.335449
tkssxq,-12.79054,45.4263,35.060059
